,bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,yearbuilt,fips,regionidzip,tax_value_2016,tax_amount_2016,tax_value,tax_amount
123,7.0,3.0,2985.0,1959.0,6037.0,96197.0,360661.0,4866.25,366160.0,4866.25
124,0.0,0.0,,,6059.0,97078.0,817676.0,9354.84,830145.0,9354.84
125,3.0,2.0,1633.0,1951.0,6037.0,96197.0,173697.0,2550.57,176344.0,2550.57
126,5.0,4.0,4436.0,1984.0,6059.0,97078.0,2215235.0,25190.08,2249017.0,25190.08
127,3.0,2.5,2134.0,1995.0,6059.0,96981.0,1589000.0,19102.86,1794000.0,19102.86
128,3.0,3.5,3790.0,1978.0,6059.0,96967.0,1167731.0,13170.2,1185538.0,13170.2
129,4.0,2.0,1620.0,1934.0,6059.0,96980.0,1566616.0,17040.54,1590506.0,17040.54
130,2.0,2.0,919.0,1994.0,6059.0,96943.0,585000.0,7025.24,585000.0,7025.24
131,3.0,2.0,1471.0,1969.0,6037.0,97328.0,152996.0,2632.76,155328.0,2632.76
132,4.0,5.0,3912.0,2001.0,6037.0,96378.0,1038000.0,13422.89,1038000.0,13422.89
133,3.0,2.5,1604.0,1981.0,6059.0,97020.0,311134.0,4618.34,388000.0,4618.34
134,4.0,3.0,2605.0,1950.0,6059.0,97048.0,413691.0,5117.98,419999.0,5117.98
135,3.0,1.0,1076.0,1955.0,6037.0,97328.0,61068.0,1623.55,61999.0,1623.55
136,3.0,2.0,1390.0,1969.0,6059.0,96183.0,167139.0,2127.6,169687.0,2127.6
137,4.0,3.0,1682.0,1947.0,6037.0,96451.0,76445.0,991.07,77610.0,991.07
138,6.0,5.5,2837.0,2008.0,6059.0,97021.0,516758.0,6217.76,524638.0,6217.76
139,4.0,2.5,2419.0,1978.0,6059.0,96954.0,392450.0,4108.18,398434.0,4108.18
140,5.0,4.0,2834.0,1996.0,6059.0,96954.0,754939.0,9291.18,766451.0,9291.18
141,3.0,3.5,3227.0,2007.0,6059.0,97018.0,933281.0,17012.62,947513.0,17012.62
142,3.0,1.5,1153.0,1954.0,6059.0,97023.0,417000.0,5021.2,423359.0,5021.2
143,3.0,1.5,1180.0,1973.0,6059.0,97025.0,197347.0,2522.24,200356.0,2522.24
144,6.0,4.0,3733.0,1999.0,6059.0,96954.0,787623.0,10794.22,799634.0,10794.22
145,3.0,1.0,1214.0,1949.0,6037.0,96083.0,60207.0,1345.64,61124.0,1345.64
146,3.0,2.0,1576.0,1958.0,6059.0,96958.0,114481.0,1798.68,116226.0,1798.68
147,3.0,2.0,1357.0,1959.0,6059.0,96958.0,236272.0,3169.92,239875.0,3169.92
148,2.0,1.0,688.0,1927.0,6111.0,97081.0,150993.0,3341.82,279193.0,3153.44
149,3.0,2.0,1568.0,1920.0,6037.0,95984.0,29938.0,4263.48,342300.0,4263.48
150,3.0,2.5,1913.0,1978.0,6059.0,96967.0,622697.0,7142.36,632193.0,7142.36
151,3.0,4.0,2074.0,1931.0,6037.0,96265.0,746200.0,8953.57,757578.0,8953.57
152,3.0,2.0,1666.0,1938.0,6037.0,96514.0,814000.0,10806.79,808662.0,10806.79
153,4.0,3.0,1737.0,1987.0,6037.0,97330.0,135862.0,2666.02,137933.0,2666.02
154,3.0,2.5,2022.0,1998.0,6059.0,96966.0,432397.0,5046.5,438991.0,5046.5
155,5.0,4.5,3567.0,1995.0,6059.0,96966.0,878342.0,9973.14,891736.0,9973.14
156,3.0,2.0,1495.0,1965.0,6037.0,96265.0,71083.0,1268.29,72166.0,1268.29
157,3.0,1.0,1720.0,1946.0,6037.0,97323.0,94779.0,1216.03,96224.0,1216.03
158,3.0,1.0,1103.0,1947.0,6037.0,96092.0,230536.0,4476.84,234051.0,4476.84
159,4.0,3.0,2208.0,1998.0,6037.0,97330.0,228414.0,4530.88,231896.0,4530.88
160,3.0,2.0,1590.0,1962.0,6059.0,96990.0,90957.0,1531.02,92344.0,1531.02
161,4.0,2.5,1866.0,1995.0,6111.0,97084.0,339250.0,3576.44,344422.0,3635.06
162,4.0,2.5,2303.0,1964.0,6059.0,96978.0,725687.0,8006.42,736753.0,8006.42
163,3.0,1.0,1084.0,1953.0,6037.0,96092.0,241006.0,3557.49,244680.0,3557.49
164,2.0,1.5,1162.0,1972.0,6059.0,97035.0,351000.0,4686.02,394456.0,4686.02
165,3.0,2.0,1369.0,1954.0,6059.0,97039.0,285610.0,3411.58,289965.0,3411.58
166,3.0,2.5,1766.0,1981.0,6059.0,97020.0,287735.0,3536.26,292122.0,3536.26
167,3.0,2.5,2228.0,1950.0,6111.0,97083.0,454184.0,5105.7,461107.0,5254.16
168,4.0,3.0,3309.0,1989.0,6059.0,96971.0,1366141.0,14914.64,1452674.0,14914.64
169,3.0,2.0,1635.0,1963.0,6059.0,97024.0,389091.0,4766.66,395024.0,4766.66
170,6.0,6.0,3659.0,1950.0,6037.0,96268.0,1884922.0,22708.18,2010195.0,22708.18
171,4.0,2.0,1303.0,1960.0,6037.0,96354.0,389863.0,4933.16,395808.0,4933.16
172,3.0,2.0,1479.0,1977.0,6111.0,97107.0,97012.0,1224.34,98489.0,1211.96
173,2.0,1.0,984.0,1948.0,6037.0,96410.0,267828.0,3372.75,271911.0,3372.75
174,6.0,3.0,1875.0,1958.0,6059.0,96180.0,134263.0,1847.28,136310.0,1847.28
175,2.0,1.0,867.0,1939.0,6037.0,96410.0,160703.0,6606.57,544000.0,6606.57
176,2.0,1.0,930.0,1902.0,6037.0,95993.0,223700.0,2841.43,227111.0,2841.43
177,2.0,5.0,2322.0,1987.0,6059.0,96969.0,667774.0,8370.78,677957.0,8370.78
178,4.0,3.0,2952.0,1941.0,6037.0,96267.0,1183235.0,13740.95,1201278.0,13740.95
179,5.0,4.0,3577.0,1952.0,6037.0,96267.0,875845.0,10329.89,889200.0,10329.89
180,3.0,2.0,1883.0,2001.0,6037.0,97329.0,193342.0,3422.28,208389.0,3422.28
181,2.0,1.0,660.0,1912.0,6037.0,96004.0,287819.0,3652.06,292207.0,3652.06
182,3.0,2.0,1185.0,1956.0,6111.0,97107.0,376976.0,4955.18,382723.0,5059.92
183,3.0,1.5,1181.0,1953.0,6111.0,97083.0,235120.0,2564.14,487320.0,5194.18
184,4.0,2.0,2024.0,1990.0,6037.0,97318.0,150216.0,3073.46,152505.0,3073.46
185,3.0,2.0,1208.0,1953.0,6037.0,96102.0,358175.0,4457.36,363636.0,4457.36
186,4.0,2.5,2357.0,1995.0,6059.0,96974.0,737718.0,7526.84,748968.0,7526.84
187,3.0,3.0,2202.0,1990.0,6037.0,97329.0,277000.0,4012.74,246800.0,4012.74
188,5.0,6.0,5147.0,2003.0,6037.0,96337.0,1508395.0,19653.1,1531397.0,19653.1
189,3.0,2.0,1219.0,1960.0,6059.0,97004.0,455000.0,5254.7,461938.0,5254.7
190,2.0,2.0,1192.0,1950.0,6037.0,96267.0,397666.0,4851.53,403729.0,4851.53
191,2.0,1.0,848.0,1996.0,6059.0,96986.0,278998.0,2873.74,283252.0,2873.74
192,3.0,2.0,1414.0,1970.0,6111.0,96385.0,601640.0,6495.18,610813.0,6608.94
193,2.0,2.0,1099.0,1949.0,6059.0,96181.0,142635.0,1895.58,148381.0,1895.58
194,3.0,2.5,1800.0,1978.0,6059.0,97041.0,530000.0,6011.78,530000.0,6011.78
195,4.0,2.0,1410.0,1964.0,6037.0,96083.0,363100.0,5018.04,363100.0,5018.04
196,3.0,2.0,1794.0,1957.0,6037.0,96268.0,874326.0,10232.1,887658.0,10232.1
197,3.0,2.0,1240.0,1956.0,6037.0,97317.0,97809.0,1959.82,99300.0,1959.82
198,4.0,2.0,1424.0,1962.0,6059.0,97067.0,567000.0,6205.6,567000.0,6205.6
199,3.0,2.0,1994.0,1985.0,6037.0,96373.0,360143.0,5124.75,365635.0,5124.75
200,3.0,2.0,1420.0,1930.0,6037.0,96013.0,191792.0,2405.15,194716.0,2405.15
201,3.0,2.0,1224.0,1972.0,6059.0,96962.0,535000.0,5916.02,566000.0,5916.02
202,4.0,3.0,2918.0,1967.0,6059.0,96995.0,325232.0,3420.94,330191.0,3420.94
203,3.0,2.0,1248.0,1922.0,6037.0,96023.0,450827.0,5627.39,457701.0,5627.39
204,5.0,4.5,4331.0,2002.0,6059.0,97041.0,821035.0,13730.58,833555.0,13730.58
205,4.0,3.0,1978.0,2006.0,6111.0,97098.0,530911.0,6372.74,539007.0,6447.66
206,3.0,2.0,1252.0,1957.0,6059.0,96990.0,425000.0,5303.28,431481.0,5303.28
207,3.0,2.0,1440.0,1961.0,6037.0,96479.0,46667.0,916.14,47377.0,1004.78
208,3.0,1.0,955.0,1953.0,6037.0,96193.0,341000.0,5003.53,386728.0,5003.53
209,3.0,3.0,3080.0,1989.0,6111.0,97091.0,904012.0,9712.3,1065000.0,11455.28
210,1.0,3.0,1619.0,1949.0,6037.0,96116.0,1639376.0,19508.3,1664376.0,19508.3
211,4.0,2.0,1859.0,1979.0,6111.0,96383.0,348498.0,3856.08,353811.0,3922.36
212,3.0,2.0,1215.0,1963.0,6037.0,96368.0,64296.0,911.75,65276.0,911.75
213,3.0,2.0,1930.0,1927.0,6037.0,96150.0,747254.0,9278.74,758649.0,9278.74
214,3.0,2.0,1956.0,1927.0,6037.0,96150.0,649356.0,31517.01,2715793.0,31517.01
215,3.0,2.0,1372.0,1967.0,6111.0,97091.0,205241.0,2222.62,208369.0,2247.28
216,2.0,1.0,1348.0,1951.0,6037.0,96330.0,374889.0,4166.66,380605.0,4166.66
217,4.0,3.0,1555.0,1972.0,6037.0,96201.0,250178.0,3546.72,253993.0,3546.72
218,2.0,2.0,1687.0,1920.0,6037.0,96008.0,743136.0,9150.68,754468.0,9150.68
219,4.0,3.0,2409.0,1927.0,6037.0,96149.0,2068723.0,24460.03,2100270.0,24460.03
220,2.0,2.0,1824.0,1954.0,6037.0,96327.0,132347.0,1557.74,134364.0,1557.74
221,4.0,1.0,1076.0,1956.0,6037.0,96174.0,350000.0,4907.53,389000.0,4907.53
222,4.0,3.0,2709.0,1956.0,6037.0,96370.0,515022.0,6676.38,522875.0,6676.38
223,3.0,2.0,1561.0,1959.0,6037.0,96489.0,410866.0,5011.92,417131.0,5011.92
224,3.0,2.0,1192.0,1954.0,6037.0,96213.0,284594.0,3602.12,288933.0,3602.12
225,3.0,2.0,1395.0,1951.0,6037.0,96213.0,382179.0,4912.38,388006.0,4912.38
226,6.0,5.0,6249.0,1924.0,6037.0,96001.0,3626028.0,44772.63,3681324.0,44772.63
227,1.0,1.0,528.0,1929.0,6037.0,96284.0,305000.0,4144.87,342000.0,4144.87
228,4.0,2.0,1425.0,1951.0,6037.0,96174.0,281574.0,3669.76,285867.0,3669.76
229,2.0,1.0,1184.0,1950.0,6037.0,96242.0,506000.0,5991.38,506000.0,5991.38
230,4.0,4.0,3031.0,1959.0,6037.0,96024.0,642881.0,8386.02,652684.0,8386.02
231,3.0,2.0,1068.0,1959.0,6111.0,97097.0,46822.0,558.78,47535.0,567.16
232,2.0,1.0,1246.0,1956.0,6037.0,96240.0,62576.0,909.72,63529.0,909.72
233,3.0,2.5,1921.0,1989.0,6111.0,97116.0,568000.0,6610.52,564000.0,6605.26
234,3.0,2.0,1128.0,1951.0,6037.0,96364.0,167190.0,2082.42,169738.0,2082.42
235,3.0,2.0,1215.0,1968.0,6037.0,96446.0,329923.0,4118.8,334953.0,4118.8
236,3.0,2.0,1583.0,1940.0,6037.0,96437.0,639351.0,7145.23,649101.0,7145.23
237,3.0,2.5,1371.0,2012.0,6111.0,97118.0,404616.0,4757.78,410786.0,4859.58
238,2.0,2.0,2010.0,1940.0,6037.0,96364.0,410031.0,5243.02,416283.0,5243.02
239,4.0,2.0,1436.0,1964.0,6111.0,97118.0,309136.0,3660.64,337048.0,3994.22
240,3.0,2.0,1194.0,1964.0,6111.0,97118.0,397791.0,4606.38,403856.0,4706.88
241,3.0,2.0,1547.0,1956.0,6037.0,96375.0,252044.0,3244.38,255887.0,3244.38
242,3.0,3.0,2287.0,1976.0,6037.0,96375.0,886906.0,11037.21,900430.0,11037.21
243,5.0,4.0,4782.0,1929.0,6037.0,96049.0,500132.0,6592.66,507758.0,6592.66
244,3.0,2.0,2306.0,1959.0,6037.0,96027.0,2149097.0,26331.31,2181870.0,26331.31
245,2.0,1.0,950.0,1954.0,6037.0,96228.0,171840.0,3551.85,284270.0,3551.85
246,3.0,1.0,1056.0,1952.0,6037.0,96228.0,135427.0,1814.69,137491.0,1814.69
247,3.0,1.0,805.0,1952.0,6037.0,96228.0,40746.0,571.78,41366.0,571.78
248,2.0,1.0,1108.0,1972.0,6111.0,97116.0,169072.0,2289.26,171648.0,2349.7
249,3.0,2.0,1418.0,1973.0,6059.0,96995.0,392020.0,4047.48,397998.0,4047.48
250,3.0,2.0,1410.0,1953.0,6037.0,96242.0,76859.0,1107.05,78030.0,1107.05
251,4.0,2.5,1660.0,1989.0,6059.0,96993.0,553012.0,7464.02,561445.0,7464.02
252,3.0,2.0,1313.0,1913.0,6037.0,95999.0,207335.0,2685.42,210496.0,2685.42
253,3.0,3.0,1499.0,1988.0,6037.0,96513.0,403832.0,5103.52,409989.0,5103.52
254,4.0,2.0,1422.0,1953.0,6037.0,96523.0,278584.0,3563.06,282832.0,3563.06
255,3.0,2.0,1770.0,1961.0,6111.0,96383.0,520189.0,5557.58,528120.0,5656.2
256,3.0,2.0,1257.0,1953.0,6037.0,96361.0,210044.0,2654.36,213246.0,2654.36
257,3.0,2.0,1482.0,1977.0,6059.0,97047.0,270416.0,3452.46,274539.0,3452.46
258,2.0,1.0,725.0,1950.0,6037.0,96506.0,186477.0,2411.42,189320.0,2411.42
259,4.0,2.0,1848.0,1952.0,6111.0,97109.0,63741.0,761.8,64712.0,781.0
260,4.0,3.0,2601.0,1969.0,6037.0,96379.0,846468.0,13114.53,1066012.0,13114.53
261,3.0,2.5,2053.0,2010.0,6111.0,97106.0,772849.0,8627.16,784633.0,8845.74
262,3.0,3.0,2160.0,1949.0,6037.0,96103.0,1002042.0,11404.15,1017322.0,11404.15
263,4.0,3.0,3316.0,1986.0,6037.0,96117.0,1076140.0,12243.98,1092550.0,12243.98
264,3.0,2.0,1157.0,1960.0,6111.0,97106.0,757000.0,8447.4,918474.0,10348.0
265,3.0,2.5,2004.0,2013.0,6111.0,97109.0,571000.0,6408.44,579707.0,6571.04
266,4.0,3.0,1335.0,1950.0,6037.0,96415.0,463000.0,5826.95,470060.0,5826.95
267,2.0,2.0,1430.0,1952.0,6037.0,96415.0,375907.0,4692.27,381638.0,4692.27
268,4.0,3.0,2672.0,1942.0,6037.0,96213.0,454305.0,5563.18,461232.0,5563.18
269,2.0,3.0,1723.0,1993.0,6059.0,96993.0,559969.0,7187.6,568508.0,7187.6
270,3.0,2.0,1628.0,1954.0,6037.0,96163.0,366639.0,4355.01,372230.0,4355.01
271,3.0,2.0,2037.0,1962.0,6111.0,97116.0,423161.0,4959.74,479000.0,12320.6
272,3.0,2.0,1128.0,1963.0,6059.0,96965.0,552000.0,6863.14,591000.0,6863.14
273,4.0,2.0,1714.0,1949.0,6037.0,96163.0,824809.0,9615.29,837386.0,9615.29
274,5.0,3.0,2748.0,1965.0,6037.0,96387.0,526506.0,6744.08,534535.0,6744.08
275,2.0,2.0,1018.0,1958.0,6037.0,96134.0,292509.0,4158.16,296969.0,4158.16
